Comment,Designator,Footprint,LCSC Part Number
10uF,C9,Capacitor_SMD:C_0805_2012Metric,C1713
1uF,C13,Capacitor_SMD:C_0805_2012Metric,C28323
22uF,C14,Capacitor_SMD:C_0805_2012Metric,C5674
4.7uF,"C18,C30",Capacitor_SMD:C_0805_2012Metric,C1779
22pF,"C23,C24,C33,C34",Capacitor_SMD:C_0805_2012Metric,C1804
0.33uF,"C5,C6",Capacitor_SMD:C_0805_2012Metric,C73142
0.1uF,"C7,C8,C10,C11,C12,C15,C16,C17,C19,C20,C21,C22,C25,C26,C27,C28,C29,C31,C32,C35,C36,C37,C38",Capacitor_SMD:C_0805_2012Metric,C1711
1uH,L1,Inductor_SMD:L_1008_2520Metric,C5179444
5.1k,R1,Resistor_SMD:R_0805_2012Metric,C27834
24.9k,R2,Resistor_SMD:R_0805_2012Metric,C17571
113k,R3,Resistor_SMD:R_0805_2012Metric,C17424
1M,R5,Resistor_SMD:R_0805_2012Metric,C2889485
33,R11,Resistor_SMD:R_0805_2012Metric,C17634
12k,"R4,R12",Resistor_SMD:R_0805_2012Metric,C17444
10k,"R6,R7,R8,R9,R10,R14,R15",Resistor_SMD:R_0805_2012Metric,C17414
TUSB1046-DCIRNQR,U1,campus-parts:RNQ40_TEX,C2151061
USB5744/2G,U2,campus-parts:VQFN56_2G_MCH,C633621
TPS62901RPJR,U3,campus-parts:QFN_902RPJR_TEX,C2864847
USB2244-AEZG-06,U4,campus-parts:QFN36_6X6MC_MCH,C2674043
25MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C9006
24MHz,Y2,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C7294566
