Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C5,0.33uF,C_0805_2012Metric,149.25,-111.25,-90,bottom
C6,0.33uF,C_0805_2012Metric,147,-111.25,-90,bottom
C7,0.1uF,C_0805_2012Metric,142.5,-111.25,90,bottom
C8,0.1uF,C_0805_2012Metric,144.75,-111.25,-90,bottom
C9,10uF,C_0805_2012Metric,132.75,-77,-90,bottom
C10,0.1uF,C_0805_2012Metric,139,-63.306,-90,bottom
C11,0.1uF,C_0805_2012Metric,143,-59.25,90,bottom
C12,0.1uF,C_0805_2012Metric,135.25,-53.25,90,bottom
C13,1uF,C_0805_2012Metric,143.75,-52.5,0,bottom
C14,22uF,C_0805_2012Metric,134.25,-83.75,180,bottom
C15,0.1uF,C_0805_2012Metric,149.25,-141.25,0,bottom
C16,0.1uF,C_0805_2012Metric,146.25,-143.5,180,bottom
C17,0.1uF,C_0805_2012Metric,139.25,-129.75,180,bottom
C18,4.7uF,C_0805_2012Metric,151.5,-128.25,0,bottom
C19,0.1uF,C_0805_2012Metric,140.75,-141.25,-90,bottom
C20,0.1uF,C_0805_2012Metric,139.5,-136.25,180,bottom
C21,0.1uF,C_0805_2012Metric,139.25,-132,180,bottom
C22,0.1uF,C_0805_2012Metric,151.75,-134.5,0,bottom
C23,22pF,C_0805_2012Metric,146,-121.75,0,bottom
C24,22pF,C_0805_2012Metric,146,-119.25,180,bottom
C25,0.1uF,C_0805_2012Metric,145.75,-97.25,90,bottom
C26,0.1uF,C_0805_2012Metric,143.5,-97.25,90,bottom
C27,0.1uF,C_0805_2012Metric,156.5,-143.5,0,bottom
C28,0.1uF,C_0805_2012Metric,154,-153.5,0,bottom
C29,0.1uF,C_0805_2012Metric,157,-150.5,-90,bottom
C30,4.7uF,C_0805_2012Metric,138.5,-141.25,-90,bottom
C31,0.1uF,C_0805_2012Metric,145.25,-146.25,180,bottom
C32,0.1uF,C_0805_2012Metric,159.25,-150.5,-90,bottom
C33,22pF,C_0805_2012Metric,136.25,-148,-90,bottom
C34,22pF,C_0805_2012Metric,138.5,-148,90,bottom
C35,0.1uF,C_0805_2012Metric,143,-62.5,0,bottom
C36,0.1uF,C_0805_2012Metric,143,-64.75,0,bottom
C37,0.1uF,C_0805_2012Metric,134,-60.5,180,bottom
C38,0.1uF,C_0805_2012Metric,134,-58.25,180,bottom
L1,1uH,L_1008_2520Metric,135.25,-80.25,0,bottom
R1,5.1k,R_0805_2012Metric,142.5,-74.9125,90,bottom
R2,24.9k,R_0805_2012Metric,139.25,-80,-90,bottom
R3,113k,R_0805_2012Metric,139.5,-76.75,0,bottom
R4,12k,R_0805_2012Metric,151.5,-130.75,0,bottom
R5,1M,R_0805_2012Metric,146,-117,0,bottom
R6,10k,R_0805_2012Metric,159.25,-108,90,bottom
R7,10k,R_0805_2012Metric,157,-108,90,bottom
R8,10k,R_0805_2012Metric,158.5,-138.5,0,bottom
R9,10k,R_0805_2012Metric,158.5,-136.25,0,bottom
R10,10k,R_0805_2012Metric,158.5,-146.25,0,bottom
R11,33,R_0805_2012Metric,157.5,-129,-90,bottom
R12,12k,R_0805_2012Metric,134,-148,-90,bottom
R14,10k,R_0805_2012Metric,153.5,-156.75,90,bottom
R15,10k,R_0805_2012Metric,147,-150,90,bottom
U1,TUSB1046-DCIRNQR,RNQ40_TEX,139.15,-55.556,90,bottom
U2,USB5744/2G,VQFN56_2G_MCH,145.75,-135.5,180,bottom
U3,TPS62901RPJR,QFN_902RPJR_TEX,135.75,-77,-90,bottom
U4,USB2244-AEZG-06,QFN36_6X6MC_MCH,152.0948,-148,-90,bottom
Y1,25MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,146,-124.9,0,bottom
Y2,24MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,141.5,-148,90,bottom
