Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,212.75,-180,0,bottom
C2,22pF,C_0805_2012Metric,212.75,-182.25,180,bottom
C3,1uF,C_0805_2012Metric,201.75,-171.75,180,bottom
C4,0.1uF,C_0805_2012Metric,209.75,-176.25,-90,bottom
C5,0.1uF,C_0805_2012Metric,197.25,-182.25,180,bottom
C6,0.1uF,C_0805_2012Metric,206.75,-184,0,bottom
C7,10uF,C_0805_2012Metric,186.25,-172,-90,bottom
D1,SOD-123,D_SOD-123-CenterREF__,73.75,-108.5,-90,bottom
D2,SOD-123,D_SOD-123-CenterREF__,76.25,-108.5,-90,bottom
D3,SOD-123,D_SOD-123-CenterREF__,94,-108.5,-90,bottom
D4,SOD-123,D_SOD-123-CenterREF__,112,-108.5,-90,bottom
D5,SOD-123,D_SOD-123-CenterREF__,130,-108.5,-90,bottom
D6,SOD-123,D_SOD-123-CenterREF__,148,-108.5,-90,bottom
D7,SOD-123,D_SOD-123-CenterREF__,166,-108.5,-90,bottom
D8,SOD-123,D_SOD-123-CenterREF__,184,-108.5,-90,bottom
D9,SOD-123,D_SOD-123-CenterREF__,202,-108.5,-90,bottom
D10,SOD-123,D_SOD-123-CenterREF__,220,-108.5,-90,bottom
D11,SOD-123,D_SOD-123-CenterREF__,238,-108.5,-90,bottom
D12,SOD-123,D_SOD-123-CenterREF__,256,-108.5,-90,bottom
D13,SOD-123,D_SOD-123-CenterREF__,274,-108.5,-90,bottom
D14,SOD-123,D_SOD-123-CenterREF__,292,-108.5,-90,bottom
D15,SOD-123,D_SOD-123-CenterREF__,310,-108.5,-90,bottom
D16,SOD-123,D_SOD-123-CenterREF__,78.5,-125.5,-90,bottom
D17,SOD-123,D_SOD-123-CenterREF__,85,-125.5,-90,bottom
D18,SOD-123,D_SOD-123-CenterREF__,103,-125.5,-90,bottom
D19,SOD-123,D_SOD-123-CenterREF__,121,-125.5,-90,bottom
D20,SOD-123,D_SOD-123-CenterREF__,139,-125.5,-90,bottom
D21,SOD-123,D_SOD-123-CenterREF__,157,-125.5,-90,bottom
D22,SOD-123,D_SOD-123-CenterREF__,175,-125.5,-90,bottom
D23,SOD-123,D_SOD-123-CenterREF__,193,-125.5,-90,bottom
D24,SOD-123,D_SOD-123-CenterREF__,211,-125.5,-90,bottom
D25,SOD-123,D_SOD-123-CenterREF__,229,-125.5,-90,bottom
D26,SOD-123,D_SOD-123-CenterREF__,247,-125.5,-90,bottom
D27,SOD-123,D_SOD-123-CenterREF__,265,-125.5,-90,bottom
D28,SOD-123,D_SOD-123-CenterREF__,283,-125.5,-90,bottom
D29,SOD-123,D_SOD-123-CenterREF__,305.5,-125.5,-90,bottom
D30,SOD-123,D_SOD-123-CenterREF__,80.75,-142.5,-90,bottom
D31,SOD-123,D_SOD-123-CenterREF__,89.5,-142.5,-90,bottom
D32,SOD-123,D_SOD-123-CenterREF__,107.5,-142.5,-90,bottom
D33,SOD-123,D_SOD-123-CenterREF__,125.5,-142.5,-90,bottom
D34,SOD-123,D_SOD-123-CenterREF__,143.5,-142.5,-90,bottom
D35,SOD-123,D_SOD-123-CenterREF__,161.5,-142.5,-90,bottom
D36,SOD-123,D_SOD-123-CenterREF__,179.5,-142.5,-90,bottom
D37,SOD-123,D_SOD-123-CenterREF__,197.5,-142.5,-90,bottom
D38,SOD-123,D_SOD-123-CenterREF__,215.5,-142.5,-90,bottom
D39,SOD-123,D_SOD-123-CenterREF__,233.5,-142.5,-90,bottom
D40,SOD-123,D_SOD-123-CenterREF__,251.5,-142.5,-90,bottom
D41,SOD-123,D_SOD-123-CenterREF__,269.5,-142.5,-90,bottom
D42,SOD-123,D_SOD-123-CenterREF__,285.5,-142.5,-90,bottom
D43,SOD-123,D_SOD-123-CenterREF__,96,-159.5,-90,bottom
D44,SOD-123,D_SOD-123-CenterREF__,98.5,-159.5,-90,bottom
D45,SOD-123,D_SOD-123-CenterREF__,116.5,-159.5,-90,bottom
D46,SOD-123,D_SOD-123-CenterREF__,134.5,-159.5,-90,bottom
D47,SOD-123,D_SOD-123-CenterREF__,152.5,-159.5,-90,bottom
D48,SOD-123,D_SOD-123-CenterREF__,170.5,-159.5,-90,bottom
D49,SOD-123,D_SOD-123-CenterREF__,188.5,-159.5,-90,bottom
D50,SOD-123,D_SOD-123-CenterREF__,206.5,-159.5,-90,bottom
D51,SOD-123,D_SOD-123-CenterREF__,224.5,-159.5,-90,bottom
D52,SOD-123,D_SOD-123-CenterREF__,242.5,-159.5,-90,bottom
D53,SOD-123,D_SOD-123-CenterREF__,260.5,-159.5,-90,bottom
D54,SOD-123,D_SOD-123-CenterREF__,285.25,-159.5,-90,bottom
D55,SOD-123,D_SOD-123-CenterREF__,310,-159.5,-90,bottom
D56,SOD-123,D_SOD-123-CenterREF__,97.5,-171.5,-90,bottom
D57,SOD-123,D_SOD-123-CenterREF__,106,-171.5,-90,bottom
D58,SOD-123,D_SOD-123-CenterREF__,173.5,-171.5,-90,bottom
D59,SOD-123,D_SOD-123-CenterREF__,241,-171.5,-90,bottom
D60,SOD-123,D_SOD-123-CenterREF__,263.5,-171.5,-90,bottom
F1,500mA,Fuse_1206_3216Metric,273.75,-152,180,bottom
